диспут	noun	обсъждане на спорен научен, обществен или друг въпрос, проблем.	Публичен спор по обществен или научен въпрос.	none
диспут	noun	дискусия за нещо, словесна борба за доказване на различни, противоположни мнения, възгледи.	Публичен спор по обществен или научен въпрос.	none
ритуал	noun	действие или поредица от действия със символно значение и с определен, установен от традицията ред и начин за извършване, обикн. с религиозен или тържествен характер.	Определена последователност при извършване на обредни действия, както и самите действия; церемония, обред.	none
ритуал	noun	формално, тържествено и строго установено действие или съвкупност от действия за отбелязване на важно лично, семейно или обществено събитие.	Определена последователност при извършване на обредни действия, както и самите действия; церемония, обред.	none
атом	noun	най-малката градивна частица на химически елемент, носител на неговите свойства, която представлява сложна система от положително заредено ядро и движещи се около него отрицателно заредени електрони, образуващи електронна обвивка.	Атомът е основната градивна частица на веществото.	none
воденица	noun	машина или уред, предназначена за стриване на твърди вещества, материали на прах.	Мелница, задвижвана от вода.	none
есен	noun	едно от четирите годишни времена, след лятото и преди зимата, когато слънцето и топлината постепенно намаляват и листата на дърветата падат.	Есента е преходен сезон с понякога доста високи температури в началото (циганско лято) и умерени до по-ниски към края, когато зимното слънцестоене (около 21 декември в Северното полукълбо и 21 юни в Южното полукълбо) бележи астрономическото начало на следващия сезон.	none
идеология	noun	система от политически, нравствени, религиозни и др. възгледи, идеи, представи за живота, характерни за определена социална група, класа или партия.	Означава система от възгледи и идеи, характерни за социална група, класа, политическа партия и др.	none
китка	noun	част от ръката, която осигурява подвижна и гъвкава връзка между костите на дланта, пръстите и лакетната кост на ръката.	събрани заедно стебла.	none
китка	noun	част от ръката, която осигурява подвижна и гъвкава връзка между костите на дланта, пръстите и лакетната кост на ръката.	частта от ръката, която се намира над дланта.	exact
лодка	noun	малък плавателен съд за плаване на недалечни разстояния, който се движи с гребла, платна или мотор и се използва за превоз на хора, малки товари, риболов и спорт.	Водно транспортно средство. Малък плавателен съд, движещ се с весла, платно или мотор.	none
мишка	noun	дребен гризач с остра муцуна, дълга опашка и малки уши, който живее в полето, в човешки жилища и др., пренася болести и унищожава различни материали, хранителни продукти.	малък бозайник.	exact
мишка	noun	дребен гризач с остра муцуна, дълга опашка и малки уши, който живее в полето, в човешки жилища и др., пренася болести и унищожава различни материали, хранителни продукти.	входно компютърно устройство.	none
ям	verb	приемам, поглъщам храна.	Непосредствено самозадоволяване на нуждите от храна (първо лице, единствено число).	none
план	noun	пояснителен чертеж с условни знаци.	предварително намислен начин за провеждане на някаква дейност. намерения.	none
план	noun	пояснителен чертеж с условни знаци.	скица, чертеж на географски или архитектурен обект (населено място, планина и т.н. или сграда, помещение и др.).	exact
план	noun	пояснителен чертеж с условни знаци.	местоположение на обектите на определена дълбочина на зрителното поле.	none
план	noun	пояснителен чертеж с условни знаци.	начин, позиция на гледане върху някакъв обект или идея.	none
план	noun	кратка програма, по която човек разработва писмено съчинение или държи реч.	предварително намислен начин за провеждане на някаква дейност. намерения.	narrower
план	noun	кратка програма, по която човек разработва писмено съчинение или държи реч.	скица, чертеж на географски или архитектурен обект (населено място, планина и т.н. или сграда, помещение и др.).	none
план	noun	кратка програма, по която човек разработва писмено съчинение или държи реч.	местоположение на обектите на определена дълбочина на зрителното поле.	none
план	noun	кратка програма, по която човек разработва писмено съчинение или държи реч.	начин, позиция на гледане върху някакъв обект или идея.	none
план	noun	предварително обмислен в подробности начин и ред за извършване на дадена работа.	предварително намислен начин за провеждане на някаква дейност. намерения.	exact
план	noun	предварително обмислен в подробности начин и ред за извършване на дадена работа.	скица, чертеж на географски или архитектурен обект (населено място, планина и т.н. или сграда, помещение и др.).	none
план	noun	предварително обмислен в подробности начин и ред за извършване на дадена работа.	местоположение на обектите на определена дълбочина на зрителното поле.	none
план	noun	предварително обмислен в подробности начин и ред за извършване на дадена работа.	начин, позиция на гледане върху някакъв обект или идея.	none
план	noun	изображение или описание в общи, основни черти.	предварително намислен начин за провеждане на някаква дейност. намерения.	none
