madra	noun	ainmhí, ball den rang Canis atá ceansaithe ag an duine leis na mílte bliain.	ainmhí a choinnítear chun aoireachta nó seilge nó cosanta, nó mar pheata	broader
péintéir	noun	duine a phéinteálann rud, a chuireann péint ar rud.	duine a phéinteálann	exact
péintéir	noun	duine a chruthaíonn saothair ealaíonta le péint.	duine a phéinteálann	none
bean	noun	duine baineann fásta.	duine baineann fásta	exact
bean	noun	duine baineann fásta.	céile mná	none
bean	noun	céile mná.	duine baineann fásta	none
bean	noun	céile mná.	céile mná	exact
bean	noun	ceann.  Bean de na cailíní, ceann de na cailíní.	duine baineann fásta	none
bean	noun	ceann.  Bean de na cailíní, ceann de na cailíní.	céile mná	none
im	noun	bia bog buí déanta d'uachtar bainne.	bia bog buí déanta d'uachtar bainne	exact
hidrigin	noun	dúil cheimiceach neamh-mhiotalach is ea í an hidrigin.	gás gan dath gan bhlas gan bholadh a thugann uisce nuair a chomhcheanglaítear le hocsaigin é (Is í an tsubstaint í is éadroime amuigh agus lasann sí go héasca)	exact
gadhar	noun	ainmhí, ball den rang Canis atá ceansaithe ag an duine leis na mílte bliain. cú	madra	exact
seanmháthair	noun	Sí máthair máthar duine a seanmháthair.	máthair athar nó máthar	exact
dé	interrogative	cad é.	(ag fáiltiú roimh dhuine)	none
capall	noun	Ainmhí mór ceathairchosach le crúba. Ainm eolaíoch Equus caballus. marc	ainmhí mór crúbach a bhfuil moing agus eireaball fada air a úsáidtear chun marcaíochta, chun feithiclí a tharraingt, agus chun rásaíochta	exact
capall	noun	láir.	ainmhí mór crúbach a bhfuil moing agus eireaball fada air a úsáidtear chun marcaíochta, chun feithiclí a tharraingt, agus chun rásaíochta	narrower
capall	noun	Rudaí neamhbheo a bhfuil cuma an chapaill orthu nó a bhfuil in úsáid i gcaoi cosúil le capall, m.sh. capall maide, capall luascáin.	ainmhí mór crúbach a bhfuil moing agus eireaball fada air a úsáidtear chun marcaíochta, chun feithiclí a tharraingt, agus chun rásaíochta	related
capall	noun	(éaneolaíocht) Capall coille Tetrao urogallus.	ainmhí mór crúbach a bhfuil moing agus eireaball fada air a úsáidtear chun marcaíochta, chun feithiclí a tharraingt, agus chun rásaíochta	none
capall	noun	(gu. mar aid.) mór, garbh (cineál de neach), m.sh. cnó capaill, múchóg capaill.	ainmhí mór crúbach a bhfuil moing agus eireaball fada air a úsáidtear chun marcaíochta, chun feithiclí a tharraingt, agus chun rásaíochta	none
gorm	adjective	Ar dhath na spéire; ar dhath na farraige.	dath gorm	exact
