achoimre	noun	leagan gearr.	cuntas giorraithe agus gan tugtha ach na príomhphointí	broader
gainéad	noun	(éaneolaíocht) Éan farraige den ghéineas Morus a bheireann ar éisc trí thumadh san fharraige.  Tá trí ghné ann: M. bassana san Atlantach Thuaidh, M. serrator san Astraláise agus tá M. capiensis le fáil i bhfarraigí deisceartacha na hAfraice.  Bíonn Morus bassana an-choitianta ar chóstaí na hÉireann.	an t-éan farraige is mó ar chóstaí na hÉireann	exact
ceamara	noun	gléas a dhéanann grianghraif nó pictiúir teilifíse. grianghrafadán	gléas ar nós bosca beag chun pictiúir a thógáil	broader
ola	noun	ceann ar bith de na leachtanna sleamhaine greamaitheacha atá domheasctha san uisce ach inmheasctha in olaí eile nó i dtuaslagóirí.	leacht sleamhain ramhar a bhaintear as ainmhithe, as plandaí agus as mianraí	none
ola	noun	ceann ar bith de na leachtanna sleamhaine greamaitheacha atá domheasctha san uisce ach inmheasctha in olaí eile nó i dtuaslagóirí.	ungadh	none
ola	noun	(eaglaiseoireacht) = an Ola Dhéanach.	leacht sleamhain ramhar a bhaintear as ainmhithe, as plandaí agus as mianraí	none
ola	noun	(eaglaiseoireacht) = an Ola Dhéanach.	ungadh	none
ola	noun	(fáthchiallach) ungadh, balsam.	leacht sleamhain ramhar a bhaintear as ainmhithe, as plandaí agus as mianraí	none
ola	noun	(fáthchiallach) ungadh, balsam.	ungadh	exact
céim	noun	coiscéim.	coiscéim	exact
céim	noun	coiscéim.	ardú	none
céim	noun	coiscéim.	ísliú	none
céim	noun	coiscéim.	ardú amháin i staighre nó i ndréimire	none
céim	noun	coiscéim.	aonad tomhais	none
céim	noun	coiscéim.	seasamh nó stádas saoil	none
céim	noun	coiscéim.	gradam ollscoile	none
céim	noun	coiscéim.	cruatan	none
céim	noun	Aonad tomhais.	coiscéim	none
céim	noun	Aonad tomhais.	ardú	none
céim	noun	Aonad tomhais.	ísliú	none
céim	noun	Aonad tomhais.	ardú amháin i staighre nó i ndréimire	none
céim	noun	Aonad tomhais.	aonad tomhais	exact
céim	noun	Aonad tomhais.	seasamh nó stádas saoil	none
céim	noun	Aonad tomhais.	gradam ollscoile	none
céim	noun	Aonad tomhais.	cruatan	none
céim	noun	(fisic) Aonad tomhais le teocht a mheas. Mar shampla Celcius, nó Fahrenheit.	coiscéim	none
céim	noun	(fisic) Aonad tomhais le teocht a mheas. Mar shampla Celcius, nó Fahrenheit.	ardú	none
céim	noun	(fisic) Aonad tomhais le teocht a mheas. Mar shampla Celcius, nó Fahrenheit.	ísliú	none
céim	noun	(fisic) Aonad tomhais le teocht a mheas. Mar shampla Celcius, nó Fahrenheit.	ardú amháin i staighre nó i ndréimire	none
céim	noun	(fisic) Aonad tomhais le teocht a mheas. Mar shampla Celcius, nó Fahrenheit.	aonad tomhais	narrower
céim	noun	(fisic) Aonad tomhais le teocht a mheas. Mar shampla Celcius, nó Fahrenheit.	seasamh nó stádas saoil	none
céim	noun	(fisic) Aonad tomhais le teocht a mheas. Mar shampla Celcius, nó Fahrenheit.	gradam ollscoile	none
céim	noun	(fisic) Aonad tomhais le teocht a mheas. Mar shampla Celcius, nó Fahrenheit.	cruatan	none
céim	noun	(céimseata) Aonad tomhais le huillinn a mheas.  Is cothrom le 1/360 imlíne ciorcal í.	coiscéim	none
céim	noun	(céimseata) Aonad tomhais le huillinn a mheas.  Is cothrom le 1/360 imlíne ciorcal í.	ardú	none
céim	noun	(céimseata) Aonad tomhais le huillinn a mheas.  Is cothrom le 1/360 imlíne ciorcal í.	ísliú	none
céim	noun	(céimseata) Aonad tomhais le huillinn a mheas.  Is cothrom le 1/360 imlíne ciorcal í.	ardú amháin i staighre nó i ndréimire	none
céim	noun	(céimseata) Aonad tomhais le huillinn a mheas.  Is cothrom le 1/360 imlíne ciorcal í.	aonad tomhais	narrower
céim	noun	(céimseata) Aonad tomhais le huillinn a mheas.  Is cothrom le 1/360 imlíne ciorcal í.	seasamh nó stádas saoil	none
céim	noun	(céimseata) Aonad tomhais le huillinn a mheas.  Is cothrom le 1/360 imlíne ciorcal í.	gradam ollscoile	none
céim	noun	(céimseata) Aonad tomhais le huillinn a mheas.  Is cothrom le 1/360 imlíne ciorcal í.	cruatan	none
céim	noun	An t-achar idir snáitheanna ar scriú.	coiscéim	none
céim	noun	An t-achar idir snáitheanna ar scriú.	ardú	none
céim	noun	An t-achar idir snáitheanna ar scriú.	ísliú	none
céim	noun	An t-achar idir snáitheanna ar scriú.	ardú amháin i staighre nó i ndréimire	none
céim	noun	An t-achar idir snáitheanna ar scriú.	aonad tomhais	none
céim	noun	An t-achar idir snáitheanna ar scriú.	seasamh nó stádas saoil	none
céim	noun	An t-achar idir snáitheanna ar scriú.	gradam ollscoile	none
céim	noun	An t-achar idir snáitheanna ar scriú.	cruatan	none
céim	noun	(ceol) nóta i gcomhthéacs scála. Mar shampla, an tríú céim den scála.	coiscéim	none
céim	noun	(ceol) nóta i gcomhthéacs scála. Mar shampla, an tríú céim den scála.	ardú	none
céim	noun	(ceol) nóta i gcomhthéacs scála. Mar shampla, an tríú céim den scála.	ísliú	none
céim	noun	(ceol) nóta i gcomhthéacs scála. Mar shampla, an tríú céim den scála.	ardú amháin i staighre nó i ndréimire	none
céim	noun	(ceol) nóta i gcomhthéacs scála. Mar shampla, an tríú céim den scála.	aonad tomhais	none
céim	noun	(ceol) nóta i gcomhthéacs scála. Mar shampla, an tríú céim den scála.	seasamh nó stádas saoil	none
céim	noun	(ceol) nóta i gcomhthéacs scála. Mar shampla, an tríú céim den scála.	gradam ollscoile	none
céim	noun	(ceol) nóta i gcomhthéacs scála. Mar shampla, an tríú céim den scála.	cruatan	none
céim	noun	(gramadach) Na céimeanna comparáide, foirmeacha a thaispeánann an trí rang sa chomparáid aidiachtaí nó dobhriathra.	coiscéim	none
céim	noun	(gramadach) Na céimeanna comparáide, foirmeacha a thaispeánann an trí rang sa chomparáid aidiachtaí nó dobhriathra.	ardú	none
céim	noun	(gramadach) Na céimeanna comparáide, foirmeacha a thaispeánann an trí rang sa chomparáid aidiachtaí nó dobhriathra.	ísliú	none
céim	noun	(gramadach) Na céimeanna comparáide, foirmeacha a thaispeánann an trí rang sa chomparáid aidiachtaí nó dobhriathra.	ardú amháin i staighre nó i ndréimire	none
