царство	noun	царска власт, царско достојанство.	земља којом управља цар или царица	none
царство	noun	царска власт, царско достојанство.	Основна група природних предмета.	none
царство	noun	царевина.	земља којом управља цар или царица	exact
царство	noun	царевина.	Основна група природних предмета.	none
царство	noun	подручје у коме ко или што (схваћено највише лично) живи или влада:	земља којом управља цар или царица	none
царство	noun	подручје у коме ко или што (схваћено највише лично) живи или влада:	Основна група природних предмета.	none
цена	noun	вредност чега (робе, рада и сл.) изражена у новцу или чему другом	Својство поседовања материјалне вредности: обично се исказује новчаним износом који би нешто донело да се прода.	exact
цена	noun	вредност чега (робе, рада и сл.) изражена у новцу или чему другом	Висока вредност нечега.	none
цена	noun	важност, вредност, значење.	Својство поседовања материјалне вредности: обично се исказује новчаним износом који би нешто донело да се прода.	none
цена	noun	важност, вредност, значење.	Висока вредност нечега.	broader
ценити	verb	одмеравати, одређивати, утврђивати цену или вредност нечему.	Одредити цену.	broader
ценити	verb	одмеравати, одређивати, утврђивати цену или вредност нечему.	Проценити да је нешто могуће.	none
ценити	verb	одмеравати, одређивати, утврђивати цену или вредност нечему.	Одредити цену.	broader
ценити	verb	истеривати цену, уцењивати.	Одредити цену.	none
ценити	verb	истеривати цену, уцењивати.	Проценити да је нешто могуће.	none
ценити	verb	истеривати цену, уцењивати.	Одредити цену.	none
ценити	verb	стварати одређени суд о некоме или нечему, просуђивати, (пр)оцењивати.	Одредити цену.	none
ценити	verb	стварати одређени суд о некоме или нечему, просуђивати, (пр)оцењивати.	Проценити да је нешто могуће.	broader
ценити	verb	стварати одређени суд о некоме или нечему, просуђивати, (пр)оцењивати.	Одредити цену.	none
ценити	verb	приписивати коме нека својства, држати, сматрати.	Одредити цену.	none
ценити	verb	приписивати коме нека својства, држати, сматрати.	Проценити да је нешто могуће.	none
ценити	verb	приписивати коме нека својства, држати, сматрати.	Одредити цену.	none
ценити	verb	признавати вредност некоме или нечему, поштовати, уважавати кога.	Одредити цену.	none
ценити	verb	признавати вредност некоме или нечему, поштовати, уважавати кога.	Проценити да је нешто могуће.	none
ценити	verb	признавати вредност некоме или нечему, поштовати, уважавати кога.	Одредити цену.	none
ценити	verb	ценкати се.	Одредити цену.	narrower
ценити	verb	ценкати се.	Проценити да је нешто могуће.	none
ценити	verb	ценкати се.	Одредити цену.	narrower
ценити	verb	сматрати се.	Одредити цену.	none
ценити	verb	сматрати се.	Проценити да је нешто могуће.	none
ценити	verb	сматрати се.	Одредити цену.	none
центар	noun	у геометријској фигури (кругу, лопти) тачка која је од свих тачака обима или површине подједнако удаљена	тачка једнако удаљена од крајева линије или завршетака лика	exact
центар	noun	у геометријској фигури (кругу, лопти) тачка која је од свих тачака обима или површине подједнако удаљена	Зона која је приближно централна унутар неког већег подручја.	none
центар	noun	у геометријској фигури (кругу, лопти) тачка која је од свих тачака обима или површине подједнако удаљена	Зграда посвећена посебној активности.	none
центар	noun	у геометријској фигури (кругу, лопти) тачка која је од свих тачака обима или површине подједнако удаљена	Најпробранији или најсадржајнији или најважнији део неке идеје или искуства.	none
центар	noun	у геометријској фигури (кругу, лопти) тачка која је од свих тачака обима или површине подједнако удаљена	Политички умерене особе; центраши.	none
центар	noun	тачка у којој се концентришу какви односи:	тачка једнако удаљена од крајева линије или завршетака лика	none
центар	noun	тачка у којој се концентришу какви односи:	Зона која је приближно централна унутар неког већег подручја.	none
центар	noun	тачка у којој се концентришу какви односи:	Зграда посвећена посебној активности.	none
центар	noun	тачка у којој се концентришу какви односи:	Најпробранији или најсадржајнији или најважнији део неке идеје или искуства.	none
центар	noun	тачка у којој се концентришу какви односи:	Политички умерене особе; центраши.	none
центар	noun	средина, средиште, средњи део града који се обично налази у средини градског простора:	тачка једнако удаљена од крајева линије или завршетака лика	none
центар	noun	средина, средиште, средњи део града који се обично налази у средини градског простора:	Зона која је приближно централна унутар неког већег подручја.	exact
центар	noun	средина, средиште, средњи део града који се обично налази у средини градског простора:	Зграда посвећена посебној активности.	none
центар	noun	средина, средиште, средњи део града који се обично налази у средини градског простора:	Најпробранији или најсадржајнији или најважнији део неке идеје или искуства.	none
центар	noun	средина, средиште, средњи део града који се обично налази у средини градског простора:	Политички умерене особе; центраши.	none
центар	noun	место где је сконцентрисана каква активност, руководство, управа; град или насеље које има административни, културни, индустријски и сл. значај за какву област или земљу; највиши орган (органи) какве активности:	тачка једнако удаљена од крајева линије или завршетака лика	none
центар	noun	место где је сконцентрисана каква активност, руководство, управа; град или насеље које има административни, културни, индустријски и сл. значај за какву област или земљу; највиши орган (органи) какве активности:	Зона која је приближно централна унутар неког већег подручја.	none
центар	noun	место где је сконцентрисана каква активност, руководство, управа; град или насеље које има административни, културни, индустријски и сл. значај за какву област или земљу; највиши орган (органи) какве активности:	Зграда посвећена посебној активности.	related
